island_code,atoll,island_name
LD0249,Noonu,Orivaru
LD0251,Gaafu Dhaalu,Meehinethiyenehuttaa
LD0252,Baa,Fares
LD0254,Thaa,Burunee
LD0255,Gaafu Dhaalu,Havoddaa
LD0256,Baa,Lan'daagiraavaru
LD0257,Alifu Alifu,Rasdhoo
LD0258,Noonu,Burehifasdhoo
LD0259,Kaafu,Thun'bafushi
LD0260,Vaavu,Keyodhoo
LD0261,Laamu,Gaadhoo
LD0262,Lhaviyani,Meedhaahuraa
LD0263,Alifu Dhaalu,Vilamendhoo
LD0264,Baa,Un'doodhoo
LD0265,Laamu,Hithadhoo
LD0266,Shaviyani,Kakaaeriyadhoo
LD0267,Vaavu,Dhiggiri
LD0268,MLE,Vilin'gili
LD0269,Raa,Mahidhoo
LD0270,Gaafu Alifu,Hithaadhoogalaa
LD0271,Noonu,Vavathi
LD0272,Seenu,Meedhoo
LD0273,Alifu Dhaalu,Dhan'gethi
LD0274,Meemu,Gaakurali
LD0276,Laamu,Uthuruvinagan'du
LD0277,Gaafu Dhaalu,Neimaahutta
LD0278,Gaafu Dhaalu,Meyragillaa
LD0279,Shaviyani,Dhonvelihuraa
LD0280,Dhaalu, 
LD0281,Raa,An'golhitheemu
LD0282,Lhaviyani,Aligau
LD0283,Kaafu,Kohdhipparu
LD0284,Noonu,Kudafushi
LD0285,Shaviyani,Bis Alhaahuraa
LD0286,Gaafu Dhaalu,Haveyyerataa
LD0287,Alifu Alifu,Feridhoo
LD0288,Seenu,Maradhoo
LD0289,Meemu,Maahuraa
LD0290,Gaafu Dhaalu,Kaalhehuttaa
LD0291,Gaafu Dhaalu,Kudhehulhehdhoo
LD0292,Gaafu Dhaalu,Han'dhebalanerehaa
LD0293,Thaa,Funaddu
LD0294,Meemu, 
LD0295,Raa,Kuroshigiri
LD0296,Gaafu Dhaalu,Laihaa
LD0297,Raa,Orimasfushi
LD0298,Raa,Ifuru
LD0299,Seenu,Hulhudhoo
LD0300,Alifu Alifu,Maayafushi
LD0301,Gaafu Alifu,Maakanaarataa
LD0302,Gaafu Dhaalu,Bodehuttaa
LD0303,Haa Dhaalu,Theefaridhoo
LD0304,Shaviyani,Kudalhaimendhoo
LD0305,Kaafu,Boduhithi
LD0306,Shaviyani,Keekimini
LD0307,Lhaviyani,Hudhufushi
LD0308,Laamu,Thun'buri
LD0309,Laamu,Kadhdhoo
LD0310,Lhaviyani,Kurehdhoo
LD0311,Kaafu,Vabbinfaru
LD0312,Dhaalu,Kiraidhoo
LD0313,Gaafu Dhaalu,Hoothodeyaa
LD0314,Gaafu Alifu,Mahthidhoo
LD0315,Raa,Dhekunumaafarufinolhu
LD0316,Alifu Dhaalu,Angaagau
LD0317,Shaviyani,Dhigurah
LD0319,Raa,Madivaafaru
LD0320,Raa,Ban'daveri
LD0321,Kaafu,Dhigufinolhu
LD0322,Meemu,Hakuraahuraa
LD0323,Laamu,Kunahandhoo
LD0324,Kaafu,Kudafinolhu
LD0325,Gaafu Dhaalu,Kandahdhoo
LD0326,Haa Alifu,Innafinolhu
LD0327,Noonu,Karinmavattaru
LD0328,Haa Alifu,Gallandhoo
LD0329,Gaafu Dhaalu,Athihuttaa
LD0330,Lhaviyani,Medhafushi
LD0331,Kaafu,Hen'badhoo
LD0332,Noonu,Fohdhoo
LD0333,Lhaviyani,Kanuhuraa
LD0334,Dhaalu,Rin'budhoo
LD0335,Noonu,Ekulhivaru
LD0336,Gaafu Dhaalu,Maanaidhoo
LD0337,Dhaalu,Meedhuffushi
LD0338,Dhaalu,Maafushi
LD0339,Gaafu Dhaalu,Badefodiyaa
LD0340,Lhaviyani,Hinnavaru
LD0341,Laamu,Veligan'dufinolhu
LD0342,Gaafu Dhaalu,Faredhoo
LD0343,Alifu Alifu,Gangehi
LD0346,Haa Dhaalu,Kudamuraidhoo
LD0347,Gaafu Alifu, 
LD0348,Baa,Dhonfanu
LD0349,Faafu,Magoodhoobodufinolhu
LD0350,Thaa,Hirilandhoo
LD0351,Thaa,Fenmeerufushi
LD0352,Dhaalu,Hulhuvahi
LD0354,Lhaviyani,Madivaru
LD0355,Raa,Goboshi
LD0356,Alifu Alifu,Mathivereefinolhu
LD0357,Gaafu Dhaalu,Maavaaruloo
LD0359,Kaafu,Girifushi
LD0360,Gaafu Dhaalu,Mudhimaahutta
LD0361,Lhaviyani,Veyvah
LD0362,Kaafu, 
LD0363,Baa,Kihaadhoo
LD0364,Alifu Dhaalu, 
LD0365,Gaafu Dhaalu,Haveyyerataa
LD0366,Laamu,Fenboarahaa
LD0367,Gaafu Dhaalu,Maagoderehaa
LD0368,Laamu, 
LD0369,Haa Dhaalu,Naagoashi
LD0370,Haa Dhaalu,Kattalafushi
LD0371,Laamu,Kashidhoo
