island_code,atoll,island_name
LD1653,Dhaalu, 
LD1654,Dhaalu, 
LD1655,Dhaalu, 
LD1656,Thaa, 
LD1657,Thaa, 
LD1658,Thaa, 
LD1659,Thaa, 
LD1660,Thaa, 
LD1661,Thaa, 
LD1662,Thaa, 
LD1663,Thaa, 
LD1664,Thaa, 
LD1665,Thaa, 
LD1666,Laamu, 
LD1667,Laamu, 
LD1668,Laamu, 
LD1669,Laamu, 
LD1670,Laamu, 
LD1671,Laamu, 
LD1672,Laamu, 
LD1673,Laamu, 
LD1674,Laamu, 
LD1675,Gaafu Alifu, 
LD1676,Gaafu Alifu, 
LD1677,Gaafu Alifu, 
LD1678,Gaafu Alifu, 
LD1679,Gaafu Alifu, 
LD1680,Gaafu Alifu,Maadhigavara
LD1681,Gaafu Alifu, 
LD1682,Gaafu Alifu, 
LD1683,Gaafu Alifu, 
LD1684,Gaafu Alifu, 
LD1685,Gaafu Alifu, 
LD1686,Gaafu Alifu, 
LD1687,Gaafu Alifu, 
LD1688,Gaafu Dhaalu, 
LD1689,Gaafu Dhaalu, 
LD1690,Gaafu Dhaalu, 
LD1691,Gaafu Dhaalu,Maakirigalla
LD1692,Gaafu Dhaalu, 
LD1693,Gaafu Dhaalu, 
LD1694,Gaafu Dhaalu, 
LD1695,Gaafu Dhaalu, 
LD1696,Gaafu Dhaalu,Huttaa
LD1697,Seenu, 
LD1698,Seenu, 
LD1699,Seenu, 
LD1700,Seenu, 
LD1701,Seenu, 
LD1702,Kaafu, 
LD1703,Kaafu, 
LD1704,Kaafu, 
LD1705,Kaafu, 
LD1706,Kaafu,Nashvilu
LD1707,Kaafu,Hastheem
LD1708,Kaafu, 
LD1709,Kaafu, 
LD1710,Kaafu, 
LD1711,Kaafu, 
LD1712,Kaafu, 
LD1713,Kaafu, 
LD1714,Kaafu,Aanugan'duhuraa
LD1715,Kaafu, 
LD1716,Kaafu, 
LD1717,Kaafu, 
LD1718,Kaafu, 
LD1719,Kaafu, 
LD1720,Kaafu, 
LD1721,Kaafu, 
LD1722,Kaafu, 
LD1723,Kaafu, 
LD1724,Kaafu, 
LD1725,Kaafu, 
LD1726,Kaafu, 
LD1727,Kaafu, 
LD1728,Kaafu, 
LD1729,Kaafu, 
LD1730,Kaafu, 
LD1731,Kaafu, 
LD1732,Kaafu, 
LD1733,Kaafu, 
LD1734,Kaafu, 
LD1735,Kaafu, 
LD1736,Kaafu, 
LD1737,Kaafu, 
LD1738,Kaafu, 
LD1739,Kaafu, 
LD1740,Kaafu, 
LD1741,Kaafu, 
LD1742,Kaafu, 
LD1743,Kaafu, 
LD1744,Kaafu, 
LD1745,Kaafu, 
LD1746,Kaafu, 
LD1747,Kaafu, 
LD1748,Kaafu, 
LD1749,Kaafu, 
LD1750,Kaafu, 
LD1751,Kaafu, 
LD1752,Kaafu, 
LD1753,Kaafu, 
LD1754,Kaafu, 
LD1755,Kaafu, 
LD1756,Kaafu, 
LD1757,Kaafu, 
LD1758,Kaafu, 
LD1759,Kaafu, 
LD1760,Kaafu, 
LD1761,Kaafu, 
LD1762,Kaafu, 
LD1763,Kaafu, 
LD1764,Kaafu, 
LD1765,Kaafu, 
LD1767,Kaafu, 
LD1768,Gaafu Dhaalu,Kudhemaadhoo
LD1769,Gaafu Dhaalu,Kavvahuttaa
LD1770,Gaafu Dhaalu, 
LD1777,Kaafu,Kudagiri
